arrivalTime,departureTime
0,2013-07-01 00:27:14
0,2013-07-01 00:57:42
2013-07-01 06:49:00,0
0,2013-07-01 08:10:06
2013-07-01 08:07:17,0
2013-07-01 08:23:18,0
2013-07-01 09:40:00,0
2013-07-01 10:12:34,0
0,2013-07-01 10:14:17
2013-07-01 10:12:34,0
0,2013-07-01 16:58:33
0,2013-07-01 17:21:45
0,2013-07-01 18:21:15
0,2013-07-01 18:40:16
0,2013-07-01 19:02:34
0,2013-07-01 19:01:49
2013-07-01 19:09:05,0
0,2013-07-01 19:43:32
0,2013-07-01 20:15:39
2013-07-01 20:17:54,0
0,2013-07-01 20:53:25
0,2013-07-01 21:27:30
0,2013-07-01 21:31:22
0,2013-07-01 21:30:43
2013-07-01 22:35:38,0
2013-07-01 23:23:12,0
2013-07-01 23:23:33,0
0,2013-07-01 23:37:48
0,2013-07-02 08:06:35
0,2013-07-02 08:19:42
2013-07-02 08:13:33,0
0,2013-07-02 08:36:43
2013-07-02 08:38:25,0
0,2013-07-02 09:01:08
2013-07-02 09:07:07,0
2013-07-02 09:19:24,0
2013-07-02 09:46:45,0
2013-07-02 11:09:01,0
2013-07-02 11:27:22,0
0,2013-07-02 12:27:16
2013-07-02 12:31:26,0
2013-07-02 14:10:18,0
0,2013-07-02 14:25:17
2013-07-02 14:13:39,0
0,2013-07-02 14:24:55
2013-07-02 14:23:15,0
2013-07-02 14:27:11,0
2013-07-02 14:27:18,0
2013-07-02 14:30:50,0
0,2013-07-02 14:57:27
0,2013-07-02 15:07:35
2013-07-02 15:09:08,0
2013-07-02 15:45:45,0
2013-07-02 15:57:00,0
2013-07-02 16:15:32,0
0,2013-07-02 17:28:15
0,2013-07-02 17:28:13
0,2013-07-02 17:38:13
0,2013-07-02 17:29:44
2013-07-02 17:28:54,0
2013-07-02 17:29:07,0
2013-07-02 17:35:53,0
0,2013-07-02 17:46:40
2013-07-02 17:40:35,0
0,2013-07-02 17:44:11
0,2013-07-02 18:04:47
0,2013-07-02 18:11:41
0,2013-07-02 18:36:03
0,2013-07-02 18:36:04
0,2013-07-02 19:03:48
2013-07-02 18:32:40,0
0,2013-07-02 19:20:27
0,2013-07-02 18:59:57
0,2013-07-02 19:24:20
0,2013-07-02 19:33:44
0,2013-07-02 20:04:44
0,2013-07-02 20:16:03
0,2013-07-02 21:45:09
0,2013-07-02 21:27:54
2013-07-03 00:21:39,0
2013-07-03 07:34:55,0
2013-07-03 08:26:51,0
2013-07-03 08:28:18,0
2013-07-03 09:42:54,0
2013-07-03 10:25:15,0
2013-07-03 10:57:56,0
0,2013-07-03 11:03:16
2013-07-03 10:58:59,0
0,2013-07-03 11:02:41
2013-07-03 10:59:27,0
0,2013-07-03 16:47:45
0,2013-07-03 17:29:47
0,2013-07-03 18:23:07
0,2013-07-03 18:22:16
0,2013-07-03 18:53:58
0,2013-07-03 20:06:29
2013-07-03 21:13:39,0
0,2013-07-03 23:49:12
2013-07-04 00:20:45,0
0,2013-07-04 00:25:17
0,2013-07-04 02:38:53
0,2013-07-04 02:52:52
2013-07-04 02:46:01,0
0,2013-07-04 09:31:31
2013-07-04 09:42:45,0
2013-07-04 10:02:01,0
0,2013-07-04 10:20:10
0,2013-07-04 10:20:29
2013-07-04 10:33:38,0
0,2013-07-04 11:35:25
2013-07-04 11:53:31,0
2013-07-04 11:53:36,0
0,2013-07-04 12:22:29
0,2013-07-04 12:22:37
2013-07-04 12:16:05,0
2013-07-04 12:40:38,0
2013-07-04 12:41:01,0
2013-07-04 13:58:58,0
2013-07-04 14:04:31,0
0,2013-07-04 14:26:56
0,2013-07-04 16:11:10
2013-07-04 16:16:16,0
0,2013-07-04 16:37:20
0,2013-07-04 16:37:36
0,2013-07-04 16:33:59
2013-07-04 16:39:23,0
2013-07-04 16:39:25,0
2013-07-04 17:48:39,0
2013-07-04 17:50:32,0
0,2013-07-04 18:00:28
0,2013-07-04 18:04:57
0,2013-07-04 18:38:45
0,2013-07-04 20:46:49
2013-07-04 22:01:03,0
0,2013-07-05 00:17:16
0,2013-07-05 00:17:23
0,2013-07-05 00:17:37
2013-07-04 23:24:50,0
0,2013-07-05 00:12:46
2013-07-05 06:53:51,0
2013-07-05 08:45:23,0
2013-07-05 10:20:40,0
0,2013-07-05 10:58:12
0,2013-07-05 11:16:33
0,2013-07-05 11:16:03
0,2013-07-05 12:52:15
2013-07-05 13:47:16,0
2013-07-05 15:27:18,0
2013-07-05 15:41:53,0
2013-07-05 15:42:19,0
0,2013-07-05 17:22:12
0,2013-07-05 18:12:50
2013-07-05 18:13:11,0
2013-07-05 18:13:39,0
0,2013-07-05 19:36:06
0,2013-07-05 19:36:30
0,2013-07-05 21:35:45
0,2013-07-05 22:15:40
2013-07-05 22:24:16,0
0,2013-07-05 22:40:48
0,2013-07-08 00:10:18
2013-07-08 07:24:59,0
2013-07-08 08:52:48,0
2013-07-08 09:05:07,0
0,2013-07-08 09:50:51
0,2013-07-08 10:27:49
2013-07-08 10:23:50,0
2013-07-08 11:14:11,0
